TradingDay,fund_512510__fund_code,fund_512510__prev_close,fund_512510__open_price,fund_512510__high_price,fund_512510__low_price,fund_512510__close_price,fund_512510__avg_price,fund_512510__change_of_price,fund_512510__change_pct,fund_512510__turnover_rate,fund_512510__turnover_volume,fund_512510__turnover_value,fund_512510__vibration_range,fund_512510__discount,fund_512510__discount_ratio,fund_512510__fund_return,fund_515180__fund_code,fund_515180__prev_close,fund_515180__open_price,fund_515180__high_price,fund_515180__low_price,fund_515180__close_price,fund_515180__avg_price,fund_515180__change_of_price,fund_515180__change_pct,fund_515180__turnover_rate,fund_515180__turnover_volume,fund_515180__turnover_value,fund_515180__vibration_range,fund_515180__discount,fund_515180__discount_ratio,fund_515180__fund_return
2020-12-28,512510,1.5,1.501,1.504,1.486,1.491,1.4928,-0.009,-0.6,2.2336,818.4597,12217724.0,1.2,0.0027,0.180759,-0.006,515180,1.108,1.109,1.109,1.096,1.1,1.0999,-0.008,-0.722,1.4704,1856.6,20421612.0,1.1733,0.0005,0.045434,-0.00722
2020-12-29,512510,1.491,1.495,1.502,1.482,1.485,1.4906,-0.006,-0.4024,2.1446,790.14,11777893.0,1.3414,-0.0017,-0.114609,-0.004024,515180,1.1,1.101,1.103,1.09,1.092,1.0955,-0.008,-0.7273,0.7391,934.67,10238992.0,1.1818,-0.0011,-0.100834,-0.0072729999999999
2020-12-30,512510,1.485,1.479,1.502,1.479,1.497,1.4914,0.012,0.8081,2.4142,894.2818,13337626.0,1.5488,0.0042,0.279776,0.008081,515180,1.092,1.092,1.098,1.088,1.094,1.0933,0.002,0.1832,0.5201,658.78,7202759.0,0.9158,0.0014,0.127807,0.001832
2020-12-31,512510,1.497,1.494,1.524,1.494,1.521,1.5147,0.024,1.6032,4.9836,1786.2701,27056012.0,2.004,0.0044,0.288449,0.016032,515180,1.094,1.095,1.103,1.095,1.103,1.0992,0.009,0.8227,0.769,973.32,10698803.0,0.7313,0.0004,0.036252,0.008227
2021-01-04,512510,1.521,1.523,1.554,1.521,1.552,1.5386,0.031,2.0381,3.8838,1368.7652,21059219.0,2.1696,0.0009,0.057956,0.020381,515180,1.103,1.103,1.108,1.097,1.108,1.1035,0.005,0.4533,1.1563,1459.94,16110705.0,0.9973,-0.0008,-0.072254,0.004533
2021-01-05,512510,1.552,1.557,1.562,1.54,1.562,1.5535,0.01,0.6443,3.7514,1307.0973,20305219.0,1.4175,0.0041,0.261797,0.006443,515180,1.108,1.107,1.108,1.094,1.108,1.0992,0.0,0.0,1.4092,1769.4649,19450725.0,1.2635,0.0017,0.153195,0.0
2021-01-06,512510,1.562,1.562,1.57,1.55,1.562,1.5615,0.0,0.0,2.7315,946.2687,14775519.0,1.2804,0.0013,0.083157,0.0,515180,1.108,1.107,1.114,1.102,1.112,1.1073,0.004,0.361,0.8405,1046.1653,11584680.0,1.083,0.0002,0.017982,0.00361
2021-01-07,512510,1.562,1.562,1.57,1.548,1.561,1.5586,-0.001,-0.064,2.7757,950.4686,14814390.0,1.4085,0.0051,0.32565,-0.00064,515180,1.112,1.111,1.113,1.096,1.104,1.1051,-0.008,-0.7194,0.9444,1166.9664,12896653.0,1.5288,0.0011,0.099539,-0.007194
2021-01-08,512510,1.561,1.561,1.578,1.552,1.57,1.564,0.009,0.5766,3.4138,1175.8265,18389775.0,1.6656,0.0006,0.038202,0.005766,515180,1.104,1.104,1.111,1.095,1.108,1.1042,0.004,0.3623,0.8112,995.91,10996807.0,1.4493,0.0002,0.018047,0.003623
2021-01-11,512510,1.57,1.57,1.57,1.537,1.544,1.5567,-0.026,-1.6561,3.0048,1022.9163,15923504.0,2.1019,0.0022,0.142284,-0.016561,515180,1.108,1.108,1.109,1.093,1.096,1.1022,-0.012,-1.083,1.1605,1418.8756,15638939.0,1.444,-0.0003,-0.02738,-0.01083
2021-01-12,512510,1.544,1.544,1.566,1.543,1.564,1.5537,0.02,1.2953,1.6853,566.98,8809262.0,1.4896,0.0029,0.185079,0.012953,515180,1.096,1.096,1.104,1.092,1.104,1.0975,0.008,0.7299,1.1519,1402.56,15392968.0,1.0949,0.0005,0.045269,0.007299
2021-01-13,512510,1.564,1.572,1.572,1.549,1.555,1.5594,-0.009,-0.5754,1.2607,426.6697,6653455.0,1.4706,0.0012,0.077111,-0.005754,515180,1.104,1.103,1.105,1.095,1.103,1.1003,-0.001,-0.0906,0.9884,1187.7478,13068364.0,0.9058,-0.0001,-0.009067,-0.000906
