日期,目标仓位(500),目标仓位(HL),平滑Alpha Score,Z-Score,情绪累积因子,500情绪残差,红利情绪残差,ETF_500收益,ETF_红利收益,策略累计净值,累计超额
2026-01-26,51.0%,49.0%,0.0412,0.668,0.0888,-0.0189,0.0053,-1.35%,0.72%,0.9968,0.00%
2026-01-27,51.7%,48.3%,0.0368,0.535,0.1032,0.0055,-0.0088,0.36%,-0.64%,0.9955,0.01%
2026-01-28,51.7%,48.3%,0.0330,0.410,0.0928,0.0005,0.0110,0.96%,1.36%,1.0070,0.00%
2026-01-29,53.3%,46.7%,0.0397,0.567,0.0640,-0.0187,0.0101,-0.99%,1.27%,1.0080,-0.04%
2026-01-30,53.3%,46.7%,0.0330,0.347,0.0543,-0.0184,-0.0087,-1.89%,-1.11%,0.9926,-0.06%
2026-02-02,50.0%,50.0%,0.0267,0.124,0.0453,-0.0402,-0.0312,-4.26%,-2.82%,0.9570,-0.11%
2026-02-03,50.0%,50.0%,0.0172,-0.241,0.0636,0.0285,0.0102,3.46%,0.65%,0.9767,-0.12%
2026-02-04,49.0%,51.0%,0.0037,-0.805,0.0403,0.0011,0.0243,0.17%,2.59%,0.9902,-0.12%
2026-02-05,0.0%,100.0%,-0.0135,-1.542,0.0289,-0.0162,-0.0048,-1.98%,-0.35%,0.9788,-0.10%
2026-02-06,0.0%,100.0%,-0.0342,-2.383,0.0293,-0.0011,-0.0014,0.25%,-0.35%,0.9748,-0.45%
2026-02-09,0.0%,100.0%,-0.0436,-2.663,0.0386,0.0166,0.0072,1.97%,0.57%,0.9804,-1.14%
2026-02-10,0.0%,100.0%,-0.0492,-2.723,0.0348,-0.0001,0.0037,-0.25%,0.56%,0.9859,-0.74%
2026-02-11,0.0%,100.0%,-0.0557,-2.762,0.0290,-0.0008,0.0050,0.37%,0.63%,0.9921,-0.62%
2026-02-12,0.0%,100.0%,-0.0653,-2.861,0.0412,0.0076,-0.0046,1.32%,-0.21%,0.9900,-1.37%
2026-02-13,0.0%,100.0%,-0.0731,-2.870,0.0383,-0.0182,-0.0153,-1.58%,-1.39%,0.9762,-1.28%
2026-02-24,0.0%,100.0%,-0.0758,-2.733,0.0299,0.0034,0.0118,1.07%,1.27%,0.9886,-1.18%
2026-02-25,0.0%,100.0%,-0.0692,-2.397,0.0371,0.0079,0.0006,1.59%,0.63%,0.9948,-1.65%
2026-02-26,0.0%,100.0%,-0.0664,-2.207,0.0387,0.0002,-0.0014,0.32%,-0.28%,0.9921,-1.94%
2026-02-27,0.0%,100.0%,-0.0608,-1.983,0.0376,0.0090,0.0101,1.12%,1.04%,1.0024,-1.98%
2026-03-02,0.0%,100.0%,-0.0696,-2.109,0.0301,-0.0085,-0.0011,0.08%,1.24%,1.0148,-1.42%
2026-03-03,0.0%,100.0%,-0.0687,-2.006,-0.0160,-0.0447,0.0015,-4.07%,0.88%,1.0238,1.07%
2026-03-04,0.0%,100.0%,-0.0728,-2.020,-0.0035,-0.0045,-0.0171,-0.49%,-1.62%,1.0072,0.49%
